policy,sessionId,seed,completed,abortedByLoopCap,abortedByStagnation,exploreCount,restCount,craftWeaponCount,craftArmorCount,craftSteelCount,craftMithrilCount,consecutiveWeaponCraftMax,armorLagMax,resourceConversionCount,convBlockedByForgeLevel,convBlockedByOre,convBlockedByTargetInactive,convBlockedByTargetMet,enhanceBlockedByPairMissing,enhanceBlockedByMaterials,forgeUpgradeCount,enhanceCountTotal,enhance0to5,enhance6to9,enhance10plus,plus6Reached,plus6ReachedLogicalTimeMs,plus1ReachedLogicalTimeMs,plus2ReachedLogicalTimeMs,plus3ReachedLogicalTimeMs,plus4ReachedLogicalTimeMs,plus5ReachedLogicalTimeMs,plus7ReachedLogicalTimeMs,plus8ReachedLogicalTimeMs,plus9ReachedLogicalTimeMs,plus10ReachedLogicalTimeMs,plus11ReachedLogicalTimeMs,plus12ReachedLogicalTimeMs,floor1Reached,floor1FirstExploreLogicalTimeMs,floor1ClearLogicalTimeMs,floor2Reached,floor2FirstExploreLogicalTimeMs,floor2ClearLogicalTimeMs,floor3Reached,floor3FirstExploreLogicalTimeMs,floor3ClearLogicalTimeMs,enhanceSuccessRateTotal,enhanceSuccessRate0to5,enhanceSuccessRate6to9,enhanceSuccessRate10plus,enhanceExpectedRateTotal,enhanceExpectedRate0to5,enhanceExpectedRate6to9,enhanceExpectedRate10plus,logicalExploreTimeMs,logicalTownTimeMs,logicalPlayTimeMs,ironEarned,ironSpent,steelEarned,steelSpent,mithrilEarned,mithrilSpent,finalBestPlus,finalAttack,finalMaxHp
conservative,conservative-001,20260310,true,false,false,45,44,99,91,1,6,5,21,7,0,110,109,235,260,11,3,166,160,6,0,true,647080,26040,61980,121000,224360,410640,669380,689020,718520,,,,true,0,,true,124000,,true,675580,760320,0.9120879120879121,0.9467455621301775,0.46153846153846156,0,0.8946703296703291,0.9159171597633132,0.6184615384615383,0,475520,284800,760320,1740,1649,623,362,177,13,9,10,55
conservative,conservative-002,20260311,true,false,false,44,43,95,88,1,4,5,10,5,0,162,92,188,260,0,3,167,160,7,0,true,659180,26040,61980,121000,194640,447840,679080,701120,705920,725820,,,true,0,,true,124000,,true,687680,742920,0.9488636363636364,0.9467455621301775,1,0,0.9039772727272722,0.9159171597633132,0.6157142857142857,0,467120,275800,742920,1690,1552,582,234,131,7,10,11,55
conservative,conservative-003,20260312,true,false,false,47,46,87,117,1,4,5,0,5,0,2,106,384,277,8,3,174,167,7,0,true,688100,26040,61980,134000,232840,411560,710400,731640,735240,783840,,,true,0,,true,137000,,true,717000,800940,0.8877551020408163,0.907608695652174,0.5833333333333334,0,0.896530612244897,0.9166847826086948,0.5875,0,499740,301200,800940,1833,1740,652,261,177,12,10,11,55
conservative,conservative-004,20260313,true,false,false,45,44,83,112,1,6,5,4,7,0,2,100,370,268,12,3,169,162,7,0,true,660240,26040,61980,136120,210560,403600,702440,706440,728340,755440,,,true,0,,true,139920,,true,710640,772540,0.8941798941798942,0.9050279329608939,0.7,0,0.8984656084656077,0.9155307262569826,0.593,0,482940,289600,772540,1760,1666,603,351,138,10,10,11,55
conservative,conservative-005,20260314,true,false,false,49,48,118,93,1,6,5,26,7,0,2,106,401,283,15,3,183,178,5,0,true,752740,26040,61980,151240,228860,491580,772640,799740,821780,,,,true,0,,true,171620,,true,804740,840080,0.8970588235294118,0.9081632653061225,0.625,0,0.9063235294117634,0.9171428571428559,0.6412499999999999,0,526080,314000,840080,1841,1751,586,338,85,8,9,9,55
conservative,conservative-006,20260315,true,false,false,46,45,113,90,1,6,5,25,7,0,185,100,196,281,7,3,180,174,6,0,true,702060,26040,61980,121000,209500,408940,721960,744000,767100,,,,true,0,,true,124000,,true,730560,791400,0.9137055837563451,0.925531914893617,0.6666666666666666,0,0.9022335025380701,0.9161702127659566,0.611111111111111,0,492400,299000,791400,1798,1708,618,344,131,9,9,10,55
conservative,conservative-007,20260316,true,false,false,51,50,103,132,1,6,5,8,7,0,2,94,464,307,19,3,209,204,5,0,true,824180,26040,61980,135320,210020,403860,827380,850480,872920,,,,true,0,,true,139920,,true,855480,891220,0.920704845814978,0.9272727272727272,0.7142857142857143,0,0.907797356828192,0.9161818181818164,0.6442857142857142,0,552420,338800,891220,1995,1905,651,332,85,7,9,9,55
conservative,conservative-008,20260317,true,false,false,50,49,120,92,1,6,5,28,7,0,139,98,278,283,16,5,181,174,5,2,true,720240,26040,61980,136120,209760,445440,742540,762980,768180,787280,845380,846980,true,0,,true,139920,,true,749540,864080,0.8786407766990292,0.8923076923076924,0.7142857142857143,0.5,0.8975728155339795,0.9172820512820503,0.6357142857142856,0.395,545080,319000,864080,2095,2000,789,333,269,48,12,8,70
conservative,conservative-009,20260318,true,false,false,43,42,88,92,1,4,5,4,5,0,2,94,340,245,10,3,157,151,6,0,true,639520,26040,61980,135320,210020,423780,665820,684000,706300,,,,true,0,,true,139920,,true,668820,726600,0.9127906976744186,0.9151515151515152,0.8571428571428571,0,0.9034302325581391,0.915272727272727,0.6242857142857142,0,456600,270000,726600,1629,1535,553,233,126,7,9,10,55
conservative,conservative-010,20260319,true,false,false,44,43,108,88,1,6,5,25,7,0,124,92,249,271,6,3,174,168,6,0,true,673400,26040,61980,121000,194640,390480,693300,697300,739240,,,,true,0,,true,124000,,true,701500,761140,0.925531914893617,0.9385474860335196,0.6666666666666666,0,0.9011702127659567,0.915810055865921,0.6099999999999999,0,474540,286600,761140,1746,1654,603,343,131,9,9,10,55
conservative,conservative-011,20260320,true,false,false,49,48,114,96,1,6,5,20,7,0,2,94,414,287,10,3,189,183,6,0,true,767220,26040,61980,135320,210020,530100,770420,791520,812760,,,,true,0,,true,139920,,true,797320,832660,0.9219512195121952,0.9195979899497487,1,0,0.9078536585365843,0.9162311557788936,0.63,0,518660,314000,832660,1823,1731,591,328,85,6,9,10,55
conservative,conservative-012,20260321,true,false,false,48,47,100,109,1,4,5,5,5,0,103,112,290,272,26,3,182,175,7,0,true,742280,26040,61980,136120,239480,418600,762180,783420,787420,807720,,,true,0,,true,139920,,true,769980,825220,0.900990099009901,0.8974358974358975,1,0,0.9067326732673255,0.9171794871794862,0.6157142857142857,0,516620,308600,825220,1879,1740,639,234,131,7,10,11,55
conservative,conservative-013,20260322,true,false,false,48,47,106,89,1,6,5,23,7,0,4,111,360,265,11,3,169,162,7,0,true,682500,26040,61980,121000,225160,447640,706800,729100,749000,779700,,,true,0,,true,124000,,true,734500,796400,0.9037433155080213,0.9257142857142857,0.5833333333333334,0,0.8967914438502667,0.9171999999999995,0.5991666666666665,0,498600,297800,796400,1773,1678,606,359,138,12,10,10,60
conservative,conservative-014,20260323,true,false,false,55,54,153,118,1,6,5,36,7,0,2,96,544,362,8,3,228,223,5,0,true,896300,26040,61980,121000,208700,439580,899500,939040,963480,,,,true,0,,true,124000,,true,926000,983380,0.8603773584905661,0.87109375,0.5555555555555556,0,0.908150943396224,0.9178124999999977,0.6333333333333332,0,602980,380400,983380,2253,2158,766,343,124,9,9,9,55
conservative,conservative-015,20260324,true,false,false,40,39,78,80,1,4,5,8,5,0,110,96,180,225,4,3,142,136,6,0,true,595980,26040,71660,131080,204720,386240,599180,620160,642460,,,,true,0,,true,134080,,true,602180,660760,0.9342105263157895,0.9379310344827586,0.8571428571428571,0,0.9038815789473685,0.9168965517241381,0.6342857142857142,0,416560,244200,660760,1468,1378,505,233,126,7,9,10,55
conservative,conservative-016,20260325,true,false,false,47,46,97,95,1,4,5,20,5,0,2,120,348,263,12,3,172,166,6,0,true,723900,26040,61980,181480,257780,467140,727100,748080,770780,,,,true,0,,true,186080,,true,732900,791080,0.9247311827956989,0.9273743016759777,0.8571428571428571,0,0.9062365591397842,0.9167039106145245,0.6385714285714285,0,498680,292400,791080,1720,1628,564,233,126,7,9,10,55
conservative,conservative-017,20260326,true,false,false,44,43,97,100,1,6,5,4,7,0,156,92,218,274,6,3,169,163,6,0,true,628660,26040,61980,121000,194640,358640,652160,692900,740300,,,,true,0,,true,124000,,true,679060,763000,0.8941798941798942,0.9367816091954023,0.4,0,0.8937037037037029,0.9171264367816087,0.6219999999999999,0,475600,287400,763000,1786,1693,642,371,177,15,9,10,55
conservative,conservative-018,20260327,true,false,false,48,47,103,94,1,4,5,21,5,0,2,114,364,268,12,3,169,163,6,0,true,707720,26040,61980,121000,225560,449900,710920,751140,754740,,,,true,0,,true,124000,,true,717120,796140,0.8941798941798942,0.9106145251396648,0.6,0,0.9016931216931209,0.9171508379888261,0.6249999999999998,0,497540,298600,796140,1769,1676,622,248,165,10,9,10,55
conservative,conservative-019,20260328,true,false,false,67,66,177,149,1,8,5,29,9,0,2,116,658,400,45,5,287,280,5,2,true,939400,26040,99380,173520,261220,436740,942600,964100,985600,1011900,1172700,1200200,true,0,,true,177720,983200,true,1158600,1220900,0.896875,0.9061488673139159,0.7142857142857143,0.5,0.8989062499999989,0.9120064724919081,0.6128571428571429,0.3875,758900,462000,1220900,2934,2840,983,434,138,51,12,8,70
conservative,conservative-020,20260329,true,false,false,47,46,100,108,1,6,5,2,7,0,124,100,277,283,10,3,183,176,7,0,true,724220,26040,61980,135320,211620,428980,748520,769620,791120,797520,,,true,0,,true,139920,,true,776620,814220,0.905940594059406,0.9119170984455959,0.7777777777777778,0,0.9025742574257416,0.9159585492227971,0.6155555555555555,0,508220,306000,814220,1838,1744,603,344,92,9,10,10,60
conservative,conservative-021,20260330,true,false,false,45,44,95,100,1,6,5,15,7,0,149,92,226,261,15,3,172,166,6,0,true,701120,26040,61980,121000,194640,445440,723420,728220,747460,,,,true,0,,true,124000,,true,733220,768560,0.9197860962566845,0.9222222222222223,0.8571428571428571,0,0.9071122994652399,0.9173333333333328,0.6442857142857142,0,479760,288800,768560,1716,1624,565,332,85,7,9,10,55
conservative,conservative-022,20260331,true,false,false,42,41,77,98,1,4,5,4,5,0,139,92,195,236,14,3,154,148,6,0,true,645380,26040,61980,121000,194640,408800,665280,687720,691320,,,,true,0,,true,124000,,true,674680,709620,0.9005847953216374,0.896969696969697,1,0,0.9076023391812862,0.9175151515151513,0.6349999999999999,0,445020,264600,709620,1578,1485,520,228,85,6,9,10,55
conservative,conservative-023,20260332,true,false,false,47,46,91,113,1,6,5,3,7,0,2,96,394,275,10,3,173,166,7,0,true,712800,26040,61980,121000,208700,386620,735100,759140,780240,784640,,,true,0,,true,124000,,true,742900,802140,0.8781725888324873,0.8877005347593583,0.7,0,0.9038071065989836,0.9181283422459883,0.6359999999999999,0,499740,302400,802140,1812,1707,621,348,131,10,10,11,55
conservative,conservative-024,20260333,true,false,false,58,57,141,109,1,6,5,33,7,0,220,110,270,348,7,5,220,213,5,2,true,854960,26040,61980,134000,236560,526000,858160,879260,900500,902900,955400,978100,true,0,,true,137000,,true,884260,998000,0.9053497942386831,0.9141630901287554,0.8333333333333334,0.5,0.8987242798353894,0.9151072961373374,0.6083333333333333,0.38000000000000006,625000,373000,998000,2375,2281,879,329,269,50,12,8,70
conservative,conservative-025,20260334,true,false,false,46,45,95,96,1,4,5,12,5,0,2,138,326,270,4,3,170,163,7,0,true,662600,26040,61980,121000,271340,446860,682500,705880,752880,756880,,,true,0,,true,124000,,true,691500,773580,0.918918918918919,0.9476744186046512,0.5384615384615384,0,0.8961621621621615,0.9165116279069764,0.6269230769230768,0,484980,288600,773580,1768,1677,628,263,172,13,10,11,55
conservative,conservative-026,20260335,true,false,false,76,75,221,198,1,8,5,25,9,0,2,118,855,316,238,5,365,358,5,2,true,706940,26040,61980,135320,252480,429600,729240,752340,777840,798540,1389540,1436940,true,0,,true,139920,773840,true,1371840,1458840,0.8924205378973105,0.9040404040404041,0.625,0.4,0.8873349633251855,0.8987373737373759,0.635,0.388,897040,561800,1458840,3740,3647,1287,437,184,61,12,8,70
conservative,conservative-027,20260336,true,false,false,45,44,82,107,1,4,5,6,5,0,2,98,359,264,6,3,168,162,6,0,true,689960,26040,71660,131080,205520,399360,693160,713340,734040,,,,true,0,,true,134080,,true,697760,755940,0.9230769230769231,0.9257142857142857,0.8571428571428571,0,0.9059340659340651,0.9175428571428564,0.6157142857142857,0,472340,283600,755940,1682,1589,574,234,126,7,9,10,55
conservative,conservative-028,20260337,true,false,false,53,52,114,118,1,4,5,10,5,0,155,112,290,317,8,3,199,192,7,0,true,789500,26040,86380,147260,236560,490800,811800,834640,862140,884840,,,true,0,,true,151460,,true,819200,902340,0.8883928571428571,0.9056603773584906,0.5833333333333334,0,0.9001785714285698,0.9165566037735834,0.6108333333333332,0,560740,341600,902340,2028,1929,707,260,177,12,10,10,60
